Junction ID,ATT&CK Technique ID,ATT&CK Mitigation ID,Mapping Description
314,T0889,M0947,"Provide the ability to verify the integrity of control logic or programs loaded on a controller. While techniques like CRCs and checksums are commonly used, they are not cryptographically strong and can be vulnerable to collisions. Preferably cryptographi"
315,T0889,M0800,"All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism."
316,T0889,M0945,Utilize code signatures to verify the integrity and authenticity of programs installed on safety or control assets.
317,T0889,M0804,"All field controllers should require users to authenticate for all remote or local management sessions. The authentication mechanisms should also support Account Use Policies, Password Policies, and User Account Management."
318,T0890,M0951,Update software regularly by employing patch management for internal enterprise endpoints and servers.
319,T0890,M0948,Make it difficult for adversaries to advance their operation through exploitation of undiscovered or unpatched vulnerabilities by using sandboxing. Other types of virtualization and application microsegmentation may also mitigate the impact of some types 
320,T0890,M0950,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. (Citation: Microsoft Security Res
321,T0890,M0919,Develop a robust cyber threat intelligence capability to determine what types and levels of threat may use software exploits and 0-days against a particular organization.
322,T0891,M0801,"Ensure embedded controls and network devices are protected through access management, as these devices often have unknown hardcoded accounts which could be used to gain unauthorized access."
323,T0892,M0953,Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise.  Maintain and exercise incident response plans  (Citation: Departmen
324,T0892,M0927,"Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment.(Citation: CISA June 2013)"
325,T0892,M0811,Retain cold-standby or replacement hardware of similar models to ensure continued operations of critical functions if the primary system is compromised or unavailable. (Citation: M. Rentschler and H. Heine)
326,T0893,M0917,Develop and publish policies that define acceptable information to be stored on local systems.
327,T0893,M0803,Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted.
328,T0893,M0941,Information which is sensitive to the operation and architecture of the process environment may be encrypted to ensure confidentiality and restrict access to only those who need to know. (Citation: Keith Stouffer May 2015) (Citation: National Institute of
329,T0893,M0922,Protect files stored locally with proper permissions to limit opportunities for adversaries to interact and collect information from the local system. (Citation: Keith Stouffer May 2015) (Citation: National Institute of Standards and Technology April 2013
330,T1001,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level.
331,T1001.001,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level.
332,T1001.002,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level.
333,T1001.003,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level.
334,T1003,M1015," Manage the access control list for “Replicating Directory Changes” and other permissions associated with domain controller replication. (Citation: AdSecurity DCSync Sept 2015) (Citation: Microsoft Replication ACL) Consider adding users to the ""Protected "
335,T1003,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to secure LSASS and prevent credential stealing. (Citation: win10_asr)"
336,T1003,M1043,"With Windows 10, Microsoft implemented new protections called Credential Guard to protect the LSA secrets that can be used to obtain credentials through forms of credential dumping. It is not configured by default and has hardware and firmware system requ"
337,T1003,M1041,Ensure Domain Controller backups are properly secured.
338,T1003,M1017,Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts.
339,T1003,M1028, Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012) Consider disabling WDigest authentication.(Citation: Microsoft WDigest Mit)
340,T1003,M1027,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
341,T1003,M1026,"Windows: Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best p"
342,T1003,M1025," On Windows 8.1 and Windows Server 2012 R2, enable Protected Process Light for LSA.(Citation: Microsoft LSA)"
343,T1003.001,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to secure LSASS and prevent credential stealing. (Citation: win10_asr)"
344,T1003.001,M1043,"With Windows 10, Microsoft implemented new protections called Credential Guard to protect the LSA secrets that can be used to obtain credentials through forms of credential dumping. It is not configured by default and has hardware and firmware system requ"
345,T1003.001,M1017,Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts.
346,T1003.001,M1028,Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012) Consider disabling WDigest authentication.(Citation: Microsoft WDigest Mit)
347,T1003.001,M1027,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
348,T1003.001,M1026,"Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices "
349,T1003.001,M1025,"On Windows 8.1 and Windows Server 2012 R2, enable Protected Process Light for LSA.(Citation: Microsoft LSA)"
350,T1003.002,M1017,Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts.
351,T1003.002,M1028,Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012)
352,T1003.002,M1027,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
353,T1003.002,M1026,"Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices "
354,T1003.003,M1041,Ensure Domain Controller backups are properly secured.(Citation: Metcalf 2015)
355,T1003.003,M1017,Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts.
356,T1003.003,M1027,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
357,T1003.003,M1026,"Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices "
358,T1003.004,M1017,Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts.
359,T1003.004,M1027,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
360,T1003.004,M1026,Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers.(Citation: Tilbury Windows Credentials)
361,T1003.005,M1015,"Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group)"
362,T1003.005,M1028,Consider limiting the number of cached credentials (HKLM\SOFTWARE\Microsoft\Windows NT\Current Version\Winlogon\cachedlogonscountvalue)(Citation: Tilbury Windows Credentials)
363,T1003.005,M1017,Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts.
364,T1003.005,M1027,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
365,T1003.005,M1026,"Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices "
366,T1003.006,M1015,"Manage the access control list for ""Replicating Directory Changes"" and other permissions associated with domain controller replication.(Citation: ADSecurity Mimikatz DCSync)(Citation: Microsoft Replication ACL)"
367,T1003.006,M1027,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network."
368,T1003.006,M1026,"Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices "
369,T1003.007,M1027,"Ensure that root accounts have complex, unique passwords across all systems on the network."
370,T1003.007,M1026,Follow best practices in restricting access to privileged accounts to avoid hostile programs from accessing sensitive information.
371,T1003.008,M1027,"Ensure that root accounts have complex, unique passwords across all systems on the network."
372,T1003.008,M1026,Follow best practices in restricting access to privileged accounts to avoid hostile programs from accessing such sensitive information.
373,T1005,M1057,Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted.
374,T1006,M1040,"Some endpoint security solutions can be configured to block some types of behaviors related to efforts by an adversary to create backups, such as command execution or preventing API calls to backup related services."
375,T1006,M1018,Ensure only accounts required to configure and manage backups have the privileges to do so. Monitor these accounts for unauthorized backup activity.
376,T1008,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be
377,T1011,M1042,"Disable WiFi connection, modem, cellular data connection, Bluetooth, or another radio frequency (RF) channel in local computer security settings or by group policy if it is not needed within an environment."
378,T1011,M1028,Prevent the creation of new network adapters where possible.(Citation: Microsoft GPO Bluetooth FEB 2009)(Citation: TechRepublic Wireless GPO FEB 2009)
379,T1011.001,M1042,Disable Bluetooth in local computer security settings or by group policy if it is not needed within an environment.
380,T1011.001,M1028,Prevent the creation of new network adapters where possible.
381,T1020.001,M1041,"Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS."
382,T1020.001,M1018,"In cloud environments, ensure that users are not granted permissions to create or modify traffic mirrors unless this is explicitly required."
383,T1021,M1042,"If remote services, such as the ability to make direct connections to cloud virtual machines, are not required, disable these connection types where feasible."
384,T1021,M1032,Use multi-factor authentication on remote service logons where possible.
385,T1021,M1018,"Limit the accounts that may use remote services. Limit the permissions for accounts that are at higher risk of compromise; for example, configure SSH so users can only run specific programs."
386,T1021.001,M1047,Audit the Remote Desktop Users group membership regularly. Remove unnecessary accounts and groups from Remote Desktop Users groups.
387,T1021.001,M1042,Disable the RDP service if it is unnecessary.
388,T1021.001,M1035,Use remote desktop gateways.
389,T1021.001,M1032,Use multi-factor authentication for remote logins.(Citation: Berkley Secure)
390,T1021.001,M1030,Do not leave RDP accessible from the internet. Enable firewall rules to block RDP traffic between network security zones within a network.
391,T1021.001,M1018,Limit remote user permissions if remote access is necessary.
392,T1021.001,M1028,Change GPOs to define shorter timeouts sessions and maximum amount of time any single session can be active. Change GPOs to specify the maximum amount of time that a disconnected session stays active on the RD session host server.(Citation: Windows RDP Se
393,T1021.001,M1026,Consider removing the local Administrators group from the list of groups allowed to log in through RDP.
394,T1021.002,M1037,Consider using the host firewall to restrict file sharing communications such as SMB. (Citation: Microsoft Preventing SMB)
395,T1021.002,M1035,Consider disabling Windows administrative shares.
396,T1021.002,M1027,Do not reuse local administrator account passwords across systems. Ensure password complexity and uniqueness such that the passwords cannot be cracked or guessed.
397,T1021.002,M1026,Deny remote use of local admin credentials to log into systems. Do not allow domain user accounts to be in the local Administrators group multiple systems.
398,T1021.003,M1048,Ensure all COM alerts and Protected View are enabled.(Citation: Microsoft Protected View)
399,T1021.003,M1042,Consider disabling DCOM through Dcomcnfg.exe.(Citation: Microsoft Disable DCOM)
400,T1021.003,M1030,"Enable Windows firewall, which prevents DCOM instantiation by default."
401,T1021.003,M1026,Modify Registry settings (directly or using Dcomcnfg.exe) in `HKEY_LOCAL_MACHINE\SOFTWARE\Classes\AppID\{{AppID_GUID}}` associated with the process-wide security of individual COM applications.(Citation: Microsoft Process Wide Com Keys)  Modify Registry s
402,T1021.004,M1042,Disable the SSH daemon on systems that do not require it. For macOS ensure Remote Login is disabled under Sharing Preferences.(Citation: Apple Unified Log Analysis Remote Login and Screen Sharing)
403,T1021.004,M1032,"Require multi-factor authentication for SSH connections wherever possible, such as password protected SSH keys."
404,T1021.004,M1018,Limit which user accounts are allowed to login via SSH.
405,T1021.005,M1047,Inventory workstations for unauthorized VNC server software.
406,T1021.005,M1042,Uninstall any VNC server software where not required.
407,T1021.005,M1037,"VNC defaults to TCP ports 5900 for the server, 5800 for browser access, and 5500 for a viewer in listening mode. Filtering or blocking these ports will inhibit VNC traffic utilizing default ports."
408,T1021.005,M1033,Restrict software installation to user groups that require it. A VNC server must be manually installed by the user or adversary.
409,T1021.006,M1042,Disable the WinRM service.
410,T1021.006,M1030,"If the service is necessary, lock down critical enclaves with separate WinRM infrastructure and follow WinRM best practices on use of host firewalls to restrict WinRM access to allow communication only to/from specific devices.(Citation: NSA Spotting)"
411,T1021.006,M1026,"If the service is necessary, lock down critical enclaves with separate WinRM accounts and permissions."
412,T1021.007,M1032,Use multi-factor authentication on cloud services whenever possible.
413,T1021.007,M1026,"Limit the number of high-privileged domain and cloud accounts, and ensure that these are not used for day-to-day operations. Ensure that on-premises accounts do not have privileged cloud permissions and that isolated, cloud-only accounts are used for mana"
414,T1021.008,M1042,"If direct virtual machine connections are not required for administrative use, disable these connection types where feasible."
415,T1021.008,M1018,Limit which users are allowed to access compute infrastructure via cloud native methods.
416,T1025,M1057,Data loss prevention can restrict access to sensitive data and detect sensitive data that is unencrypted.
417,T1027,M1049,Anti-virus can be used to automatically detect and quarantine suspicious files. Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted. (Citation: Microsoft AMSI June 2015)
418,T1027,M1047,Consider periodic review of common fileless storage locations (such as the Registry or WMI repository) to potentially identify abnormal and malicious data.
419,T1027,M1040,"On Windows 10+, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated payloads. (Citation: win10_asr)"
420,T1027,M1017,Ensure that a finite amount of ingress points to a software deployment system exist with restricted access for those required to allow and enable newly deployed software.
421,T1027.002,M1049,Employ heuristic-based malware detection. Ensure updated virus definitions and create custom signatures for observed malware.
422,T1027.006,M1048,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist."
423,T1027.009,M1049,Anti-virus can be used to automatically detect and quarantine suspicious files.
424,T1027.009,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated scripts.(Citation: win10_asr)"
425,T1027.010,M1049,Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10+ to analyze commands after being processed/interpreted.
426,T1027.010,M1040,"On Windows 10+, enable Attack Surface Reduction (ASR) rules to block execution of potentially obfuscated scripts.(Citation: Microsoft ASR Obfuscation)"
427,T1027.011,M1047,Consider periodic review of common fileless storage locations (such as the Registry or WMI repository) to potentially identify abnormal and malicious data.
428,T1027.012,M1049,Use signatures or heuristics to detect malicious LNK and subsequently downloaded files.
429,T1027.012,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent execution of potentially obfuscated scripts or payloads."
430,T1029,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level. Signatures are often for unique
431,T1030,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.
432,T1036,M1049,Anti-virus can be used to automatically quarantine suspicious files.
433,T1036,M1040,"Implement security controls on the endpoint, such as a Host Intrusion Prevention System (HIPS), to identify and prevent execution of potentially malicious files (such as those with mismatching file signatures)."
434,T1036,M1045,Require signed binaries.
435,T1036,M1038,Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed.
436,T1036,M1017,Train users not to open email attachments or click unknown links (URLs). Such training fosters more secure habits within your organization and will limit many of the risks.
437,T1036,M1022,Use file system access controls to protect folders such as C:\\Windows\\System32.
438,T1036.001,M1045,Require signed binaries.
439,T1036.003,M1022,Use file system access controls to protect folders such as C:\Windows\System32.
440,T1036.005,M1045,Require signed binaries and images.
441,T1036.005,M1038,Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed.
442,T1036.005,M1022,Use file system access controls to protect folders such as C:\Windows\System32.
443,T1036.007,M1028,Disable the default to “hide file extensions for known file types” in Windows OS.(Citation: Seqrite DoubleExtension)(Citation: HowToGeek ShowExtension)
444,T1036.007,M1017,"Train users to look for double extensions in filenames, and in general use training as a way to bring awareness to common phishing and spearphishing techniques and how to raise suspicion for potentially malicious events."
445,T1036.008,M1049,Anti-virus can be used to automatically quarantine suspicious files.
446,T1036.008,M1040,"Implement security controls on the endpoint, such as a Host Intrusion Prevention System (HIPS), to identify and prevent execution of files with mismatching file signatures."
447,T1036.008,M1038,"Ensure that input sanitization is performed and that files are validated properly before execution; furthermore, implement a strict allow list to ensure that only authorized file types are processed.(Citation: file_upload_attacks_pt2) Restrict and/or bloc"
448,T1037,M1022,Restrict write access to logon scripts to specific administrators.
449,T1037,M1024,Ensure proper permissions are set for Registry hives to prevent users from modifying keys for logon scripts that may lead to persistence.
450,T1037.001,M1024,Ensure proper permissions are set for Registry hives to prevent users from modifying keys for logon scripts that may lead to persistence.
451,T1037.002,M1022,Restrict write access to logon scripts to specific administrators.
452,T1037.003,M1022,Restrict write access to logon scripts to specific administrators.
453,T1037.004,M1022,Limit privileges of user accounts so only authorized users can edit the rc.common file.
454,T1037.005,M1022,"Since StartupItems are deprecated, preventing all users from writing to the/Library/StartupItems directory would prevent any startup items from getting registered."
455,T1040,M1041,"Ensure that all wired and/or wireless traffic is encrypted appropriately. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS."
456,T1040,M1032,Use multi-factor authentication wherever possible.
457,T1040,M1030,"Deny direct access of broadcasts and multicast sniffing, and prevent attacks such as [LLMNR/NBT-NS Poisoning and SMB Relay](https://attack.mitre.org/techniques/T1557/001)"
458,T1040,M1018,"In cloud environments, ensure that users are not granted permissions to create or modify traffic mirrors unless this is explicitly required."
459,T1041,M1057,Data loss prevention can detect and block sensitive data being sent over unencrypted protocols.
460,T1041,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and may be
461,T1046,M1042,Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.
462,T1046,M1031,Use network intrusion detection/prevention systems to detect and prevent remote service scans.
463,T1046,M1030,Ensure proper network segmentation is followed to protect critical servers and devices.
464,T1047,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to block processes created by WMI commands from running. Note: many legitimate tools and applications utilize WMI for command execution. (Citation: win10_asr)"
465,T1047,M1038,"Use application control configured to block execution ofwmic.exe if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Con"
466,T1047,M1018,"By default, only administrators are allowed to connect remotely using WMI. Restrict other users who are allowed to connect, or disallow all users to connect remotely to WMI."
467,T1047,M1026,Prevent credential overlap across systems of administrator and privileged accounts. (Citation: FireEye WMI 2015)
468,T1048,M1057,Data loss prevention can detect and block sensitive data being uploaded via web browsers.
469,T1048,M1037,"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network. Cloud service providers support IP-based restrictions when accessing c"
470,T1048,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.
471,T1048,M1030,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.(Citation: TechNet Firewall Design)
472,T1048,M1022,Use access control lists on cloud storage systems and objects.
473,T1048,M1018,"Configure user permissions groups and roles for access to cloud storage.(Citation: Microsoft Azure Storage Security, 2019) Implement strict Identity and Access Management (IAM) controls to prevent access to storage solutions except for the applications, u"
474,T1048.001,M1037,"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network."
475,T1048.001,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.
476,T1048.001,M1030,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.(Citation: TechNet Firewall Design)
477,T1048.002,M1057,Data loss prevention can detect and block sensitive data being uploaded via web browsers.
478,T1048.002,M1037,"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network."
479,T1048.002,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.
480,T1048.002,M1030,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.(Citation: TechNet Firewall Design)
481,T1048.003,M1057,Data loss prevention can detect and block sensitive data being sent over unencrypted protocols.
482,T1048.003,M1037,"Enforce proxies and use dedicated servers for services such as DNS and only allow those systems to communicate over respective ports/protocols, instead of all systems within a network."
483,T1048.003,M1031,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary command and control infrastructure and malware can be used to mitigate activity at the network level.
484,T1048.003,M1030,Follow best practices for network firewall configurations to allow only necessary ports and traffic to enter and exit the network.(Citation: TechNet Firewall Design)
485,T1052,M1057,Data loss prevention can detect and block sensitive data being copied to physical mediums.
486,T1052,M1042,Disable Autorun if it is unnecessary. (Citation: Microsoft Disable Autorun) Disallow or restrict removable media at an organizational policy level if they are not required for business operations. (Citation: TechNet Removable Media Control)
487,T1052,M1034,Limit the use of USB devices and removable media within a network.
488,T1052.001,M1057,Data loss prevention can detect and block sensitive data being copied to USB devices.
489,T1052.001,M1042,Disable Autorun if it is unnecessary. (Citation: Microsoft Disable Autorun) Disallow or restrict removable media at an organizational policy level if they are not required for business operations. (Citation: TechNet Removable Media Control)
490,T1052.001,M1034,Limit the use of USB devices and removable media within a network.
491,T1053,M1047,Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit)
492,T1053,M1018,Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems.
493,T1053,M1028,Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located atHKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl. The se
494,T1053,M1026,Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Loc
495,T1053.002,M1047,Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit) Windows operating system also creates a reg
496,T1053.002,M1028,Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located atHKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl. The se
497,T1053.002,M1026,Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Poli
498,T1053.002,M1018,"Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems. In Linux environments, users account-level access to[at](https://attack.mitre.org/software/S0110) "
499,T1053.003,M1047,"Review changes to thecron schedule.cron execution can be reviewed within the/var/log directory. To validate the location of thecron log file, check the syslog config at/etc/rsyslog.conf or/etc/syslog.conf"
500,T1053.003,M1018,"cron permissions are controlled by/etc/cron.allow and /etc/cron.deny. If there is acron.allow file, then the user or users that need to usecron will need to be listed in the file.cron.deny is used to explicitly disallow users from using cron. If neither f"
501,T1053.005,M1047,Toolkits like the PowerSploit framework contain PowerUp modules that can be used to explore systems for permission weaknesses in scheduled tasks that could be used to escalate privileges. (Citation: Powersploit)
502,T1053.005,M1018,Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create scheduled tasks on remote systems.
503,T1053.005,M1028,Configure settings for scheduled tasks to force tasks to run under the context of the authenticated account instead of allowing them to run as SYSTEM. The associated Registry key is located at HKLM\SYSTEM\CurrentControlSet\Control\Lsa\SubmitControl. The s
504,T1053.005,M1026,Configure the Increase Scheduling Priority option to only allow the Administrators group the rights to schedule a priority process. This can be configured through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Poli
505,T1053.006,M1018,Limit user access to system utilities such as 'systemctl' or 'systemd-run' to users who have a legitimate need.
506,T1053.006,M1026,Limit access to the root account and prevent users from creating and/or modifying systemd timer unit files.
507,T1053.006,M1022,Restrict read/write access to systemd.timer unit files to only select privileged users who have a legitimate need to manage system services.
508,T1053.007,M1026,"Ensure containers are not running as root by default. In Kubernetes environments, consider defining Pod Security Standards that prevent pods from running privileged containers.(Citation: Kubernetes Hardening Guide)"
509,T1053.007,M1018,Limit privileges of user accounts and remediate privilege escalation vectors so only authorized administrators can create container orchestration jobs.
510,T1055,M1040,"Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process. For example, on Windows 10, Attack Surface Reduction (ASR) rules may prevent Office "
511,T1055,M1026,Utilize Yama (ex: /proc/sys/kernel/yama/ptrace_scope) to mitigate ptrace based process injection by restricting the use of ptrace to privileged users only. Other mitigation controls involve the deployment of security kernel modules that provide advanced a
512,T1055.001,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
513,T1055.002,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
514,T1055.003,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
515,T1055.004,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
516,T1055.005,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
517,T1055.008,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
518,T1055.008,M1026,Utilize Yama (ex: /proc/sys/kernel/yama/ptrace_scope) to mitigate ptrace based process injection by restricting the use of ptrace to privileged users only. Other mitigation controls involve the deployment of security kernel modules that provide advanced a
519,T1055.009,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
520,T1055.009,M1022,Restrict the permissions on sensitive files such as/proc/[pid]/maps or/proc/[pid]/mem.
521,T1055.011,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
522,T1055.012,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
523,T1055.013,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
524,T1055.014,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
525,T1055.015,M1040,Some endpoint security solutions can be configured to block some types of process injection based on common sequences of behavior that occur during the injection process.
526,T1056.002,M1017,Use user training as a way to bring awareness and raise suspicion for potentially malicious events and dialog boxes (ex: Office documents prompting for credentials).
527,T1056.003,M1026,Do not allow administrator accounts that have permissions to modify the Web content of organization login portals to be used for day-to-day operations that may expose them to potential adversaries on unprivileged systems.
528,T1059,M1049,Anti-virus can be used to automatically quarantine suspicious files.
529,T1059,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent [Visual Basic](https://attack.mitre.org/techniques/T1059/005) and [JavaScript](https://attack.mitre.org/techniques/T1059/007) scripts from executing potentially malicious downloaded con"
530,T1059,M1045,"Where possible, only permit execution of signed scripts."
531,T1059,M1042,Disable or remove any unnecessary or unused shells or interpreters.
532,T1059,M1038,"Use application control where appropriate. For example, PowerShell Constrained Language mode can be used to restrict access to sensitive or otherwise dangerous language elements such as those used to execute arbitrary Windows APIs or files (e.g., `Add-Typ"
533,T1059,M1026,"When PowerShell is necessary, consider restricting PowerShell execution policy to administrators. Be aware that there are methods of bypassing the PowerShell execution policy, depending on environment configuration.(Citation: Netspi PowerShell Execution P"
534,T1059,M1021,"Script blocking extensions can help prevent the execution of scripts and HTA files that may commonly be used during the exploitation process. For malicious code served up through ads, adblockers can help prevent that code from executing in the first place"
535,T1059.001,M1049,Anti-virus can be used to automatically quarantine suspicious files.
536,T1059.001,M1045,Set PowerShell execution policy to execute only signed scripts.
537,T1059.001,M1042,"It may be possible to remove PowerShell from systems when not needed, but a review should be performed to assess the impact to an environment, since it could be in use for many legitimate purposes and administrative functions.  Disable/restrict the WinRM "
538,T1059.001,M1038,"Use application control where appropriate. PowerShell Constrained Language mode can be used to restrict access to sensitive or otherwise dangerous language elements such as those used to execute arbitrary Windows APIs or files (e.g., `Add-Type`).(Citation"
