CCI ID,Description,NIST Revision,Type
CCI-001493,Protect audit tools from unauthorized access.,NIST SP 800-53 Revision 5,Technical
CCI-001494,Protect audit tools from unauthorized modification.,NIST SP 800-53 Revision 5,Technical
CCI-001495,Protect audit tools from unauthorized deletion.,NIST SP 800-53 Revision 5,Technical
CCI-001496,Implement cryptographic mechanisms to protect the integrity of audit tools.,NIST SP 800-53 Revision 5,Technical
CCI-001497,Defines a frequency for the review and update to the baseline configuration of the system.,NIST SP 800-53 Revision 5,Policy
CCI-001498,Defines a time period after which proposed changes to the system that have not been approved or disapproved are highlighted.,NIST SP 800-53 Revision 5,Policy
CCI-001499,Limit privileges to change software resident within software libraries.,NIST SP 800-53 Revision 5,Technical
CCI-001504,"Develop and document an organization-level; mission/business process-level; and/or system-level personnel security policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",NIST SP 800-53 Revision 5,Policy
CCI-001505,Disseminate an organization-level; mission/business process-level; and/or system-level personnel security policy to organization-defined personnel or roles.,NIST SP 800-53 Revision 5,Policy
CCI-001506,Review and update the current personnel security policy in accordance with organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001507,Defines the frequency with which to review and update the current personnel security policy.,NIST SP 800-53 Revision 5,Policy
CCI-001508,Defines the frequency with which to review and update the current personnel security procedures.,NIST SP 800-53 Revision 5,Policy
CCI-001509,Develop and document procedures to facilitate the implementation of the personnel security policy and associated personnel security controls.,NIST SP 800-53 Revision 5,Policy
CCI-001510,Disseminate personnel security procedures to organization-defined personnel or roles.,NIST SP 800-53 Revision 5,Policy
CCI-001511,Review and update the current personnel security procedures in accordance with organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001512,Assign a risk designation to all organizational positions.,NIST SP 800-53 Revision 5,Policy
CCI-001513,Establish screening criteria for individuals filling organizational positions.,NIST SP 800-53 Revision 5,Policy
CCI-001514,Review and update position risk designations in accordance with organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001515,Defines the frequency with which to review and update position risk designations.,NIST SP 800-53 Revision 5,Policy
CCI-001516,Screen individuals prior to authorizing access to the system.,NIST SP 800-53 Revision 5,Policy
CCI-001517,"Rescreen individuals with authorized access to the system in accordance with organization-defined conditions requiring rescreening, and where rescreening is so indicated, on the organization-defined frequency of rescreening.",NIST SP 800-53 Revision 5,Policy
CCI-001518,Defines the conditions requiring rescreening of individuals with authorized access to the system.,NIST SP 800-53 Revision 5,Policy
CCI-001519,Defines the frequency for rescreening individuals with authorized access to the information system when organization-defined conditions requiring rescreening are met.,NIST SP 800-53 Revision 5,Policy
CCI-001520,"Verify that individuals accessing a system processing, storing, or transmitting classified information are cleared and indoctrinated to the highest classification level of the information to which they have access on the system.",NIST SP 800-53 Revision 5,Policy
CCI-001521,"Verify that individuals accessing a system processing, storing, or transmitting types of classified information which require formal indoctrination, are formally indoctrinated for all of the relevant types of information to which they have access on the system.",NIST SP 800-53 Revision 5,Policy
CCI-001522,"Upon termination of individual employment, disable system access within an organization-defined time period.",NIST SP 800-53 Revision 5,Policy
CCI-001523,"Upon termination of individual employment, conduct exit interviews that include a discussion of organization-defined information security topics.",NIST SP 800-53 Revision 5,Policy
CCI-001524,"Upon termination of individual employment, retrieve all security-related organizational system-related property.",NIST SP 800-53 Revision 5,Policy
CCI-001525,"Upon termination of individual employment, retain access to organizational information formerly controlled by the terminated individual.",NIST SP 800-53 Revision 5,Policy
CCI-001526,"Upon termination of individual employment, retain access to organizational systems formerly controlled by the terminated individual.",NIST SP 800-53 Revision 5,Policy
CCI-001527,Review and confirm the ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to other positions within the organization.,NIST SP 800-53 Revision 5,Policy
CCI-001528,Initiate organization-defined transfer or reassignment actions within an organization-defined time period following the formal personnel transfer action.,NIST SP 800-53 Revision 5,Policy
CCI-001529,Defines transfer or reassignment actions to initiate within an organization-defined time period following the formal personnel transfer action.,NIST SP 800-53 Revision 5,Policy
CCI-001530,Defines the time period within which the organization initiates organization-defined transfer or reassignment actions following the formal personnel transfer action.,NIST SP 800-53 Revision 5,Policy
CCI-001532,Review and update the access agreements for organizational systems in accordance with organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001533,Defines the frequency with which to review and update access agreements for organizational systems.,NIST SP 800-53 Revision 5,Policy
CCI-001536,Verify that access to classified information requiring special protection is granted only to individuals who have a valid access authorization that is demonstrated by assigned official government duties.,NIST SP 800-53 Revision 5,Policy
CCI-001537,Verify that access to classified information requiring special protection is granted only to individuals who satisfy associated personnel security criteria.,NIST SP 800-53 Revision 5,Policy
CCI-001538,"Verify that access to classified information requiring special protection is granted only to individuals who have read, understood, and signed a nondisclosure agreement.",NIST SP 800-53 Revision 5,Policy
CCI-001539,Establish personnel security requirements including security roles and responsibilities for external providers.,NIST SP 800-53 Revision 5,Policy
CCI-001540,Document personnel security requirements.,NIST SP 800-53 Revision 5,Policy
CCI-001541,Monitor provider compliance with personnel security requirements.,NIST SP 800-53 Revision 5,Policy
CCI-001544,Manage system authenticators by ensuring that authenticators have sufficient strength of mechanism for their intended use.,NIST SP 800-53 Revision 5,Policy
CCI-001545,Defines a frequency for reviewing and updating the access control policy.,NIST SP 800-53 Revision 5,Policy
CCI-001546,Defines a frequency for reviewing and updating the access control procedures.,NIST SP 800-53 Revision 5,Policy
CCI-001547,Defines the frequency on which it will review information system accounts for compliance with account management requirements.,NIST SP 800-53 Revision 5,Policy
CCI-001548,Defines the information flow control policies for controlling the flow of information within the system.,NIST SP 800-53 Revision 5,Policy
CCI-001549,Defines the information flow control policies for controlling the flow of information between interconnected systems.,NIST SP 800-53 Revision 5,Policy
CCI-001553,Defines security or privacy policy filters that privileged administrators have the capability to enable and disable.,NIST SP 800-53 Revision 5,Policy
CCI-001554,Defines the security or privacy policy filters that privileged administrators have the capability to configure.,NIST SP 800-53 Revision 5,Policy
CCI-001558,"Defines the security functions (deployed in hardware, software, and firmware) for which access must be authorized.",NIST SP 800-53 Revision 5,Policy
CCI-001564,Defines the frequency of security awareness and training policy reviews and updates.,NIST SP 800-53 Revision 5,Policy
CCI-001565,Defines the frequency of security awareness and training procedure reviews and updates.,NIST SP 800-53 Revision 5,Policy
CCI-001566,Provide organization-defined personnel or roles with initial training in the employment and operation of physical security controls.,NIST SP 800-53 Revision 5,Policy
CCI-001567,"Provide organization-defined personnel or roles with refresher training, thereafter, in the employment and operation of physical security controls in accordance with the organization-defined frequency.",NIST SP 800-53 Revision 5,Policy
CCI-001568,Defines a frequency for providing employees with refresher training in the employment and operation of physical security controls.,NIST SP 800-53 Revision 5,Policy
CCI-001569,Defines the frequency on which the current audit and accountability policy will be reviewed and updated.,NIST SP 800-53 Revision 5,Policy
CCI-001570,Defines the frequency on which the current audit and accountability procedures will be reviewed and updated.,NIST SP 800-53 Revision 5,Policy
CCI-001571,Defines the event types that the system is capable of logging in support of the audit function.,NIST SP 800-53 Revision 5,Policy
CCI-001572,Defines the personnel or roles to be alerted in the event of an audit logging process failure.,NIST SP 800-53 Revision 5,Policy
CCI-001573,Defines whether to reject or delay network traffic that exceeds organization-defined thresholds.,NIST SP 800-53 Revision 5,Policy
CCI-001577,Defines the information system components from which audit records are to be compiled into the system-wide audit trail.,NIST SP 800-53 Revision 5,Policy
CCI-001578,"Defines the frequency to review and update the current assessment, authorization, and monitoring procedures.",NIST SP 800-53 Revision 5,Policy
CCI-001582,Defines other forms of control assessments other than in-depth monitoring; security instrumentation; automated security test cases; vulnerability scanning; malicious user testing; insider threat assessment; performance and load testing; data leakage or data loss assessment that should be included as part of the control assessments.,NIST SP 800-53 Revision 5,Policy
CCI-001584,Defines the frequency with which to review and update configuration management procedures.,NIST SP 800-53 Revision 5,Policy
CCI-001585,Defines the circumstances that require reviews and updates to the baseline configuration of the system.,NIST SP 800-53 Revision 5,Policy
CCI-001586,Defines the configuration change control element responsible for coordinating and providing oversight for configuration change control activities.,NIST SP 800-53 Revision 5,Policy
CCI-001592,Defines the rules authorizing the terms and conditions of software program usage on the system.,NIST SP 800-53 Revision 5,Policy
CCI-001596,Defines the frequency with which to review and update the current contingency planning procedures.,NIST SP 800-53 Revision 5,Policy
CCI-001597,Disseminate contingency planning procedures to organization-defined personnel or roles.,NIST SP 800-53 Revision 5,Policy
CCI-001598,Review and update the current contingency planning procedures in accordance with the organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001599,Sustain operational continuity of essential missions until full information system restoration at primary processing and/or storage sites.,NIST SP 800-53 Revision 5,Policy
CCI-001600,Sustains operational continuity of essential business functions until full information system restoration at primary processing and/or storage sites.,NIST SP 800-53 Revision 5,Policy
CCI-001601,Sustain operational continuity of essential mission functions at alternate processing and/or storage sites until system restoration to primary processing and/or storage sites.,NIST SP 800-53 Revision 5,Policy
CCI-001602,Sustain operational continuity of essential business functions at alternate processing and/or storage sites until system restoration at primary processing and/or storage sites.,NIST SP 800-53 Revision 5,Policy
CCI-001604,Outline explicit mitigation actions for potential accessibility problems to the alternate storage site in the event of an area-wide disruption or disaster.,NIST SP 800-53 Revision 5,Policy
CCI-001606,Identify potential accessibility problems to outline explicit mitigation actions.,NIST SP 800-53 Revision 5,Policy
CCI-001609,Activate the redundant secondary system that is not collocated with the primary system without loss of information or disruption to operations.,NIST SP 800-53 Revision 5,Policy
CCI-001610,Defines the time-period (by authenticator type) for changing/refreshing authenticators.,NIST SP 800-53 Revision 5,Policy
CCI-001621,Implement organization-defined security controls to manage the risk of compromise due to individuals having accounts on multiple systems.,NIST SP 800-53 Revision 5,Policy
CCI-001625,"Implement the resulting incident handling activity changes to incident response procedures, training, and testing accordingly.",NIST SP 800-53 Revision 5,Policy
CCI-001628,Defines a frequency with which to review and update the current maintenance procedures.,NIST SP 800-53 Revision 5,Policy
CCI-001631,"After the service is performed, inspect and sanitize the component (for potentially malicious software) before reconnecting the component to the system.",NIST SP 800-53 Revision 5,Policy
CCI-001632,Protect nonlocal maintenance sessions by separating the maintenance session from other network sessions with the system by either physically separated communications paths or logically separated communications paths based upon encryption.,NIST SP 800-53 Revision 5,Technical
CCI-001635,Remove individuals from the facility access list when access is no longer required.,NIST SP 800-53 Revision 5,Policy
CCI-001636,Defines the frequency with which to review and update the current planning policy.,NIST SP 800-53 Revision 5,Policy
CCI-001637,Review and update the current planning policy in accordance with organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001638,Defines the frequency with which to review and update the current planning procedures.,NIST SP 800-53 Revision 5,Policy
CCI-001640,Address information security issues in the updating of a critical infrastructure and key resources protection plan.,NIST SP 800-53 Revision 5,Policy
CCI-001641,Defines the process for conducting random vulnerability scans on the system and hosted applications.,NIST SP 800-53 Revision 5,Policy
CCI-001642,"Defines the organizational document in which risk assessment results are documented (e.g., security plan, privacy plan; risk assessment report).",NIST SP 800-53 Revision 5,Policy
CCI-001643,Monitor and scan for vulnerabilities in the system and hosted applications in accordance with the organization-defined process for random scans.,NIST SP 800-53 Revision 5,Policy
CCI-001645,Defines the system components to which privileged access is authorized for organization-defined vulnerability scanning activities.,NIST SP 800-53 Revision 5,Policy
CCI-001646,Defines the frequency with which to review and update the current system and services acquisition procedures.,NIST SP 800-53 Revision 5,Policy
CCI-001661,"Defines the security functions, to at a minimum, include system authentication and re-authentication, for permitting users to invoke the trusted communications path.",NIST SP 800-53 Revision 5,Policy
CCI-001662,Take organization-defined corrective action when organization-defined unacceptable mobile code is identified.,NIST SP 800-53 Revision 5,Technical
CCI-001663,"Provide the means to enable verification of a chain of trust among parent and child domains (if the child supports secure resolution services), when operating as part of a distributed, hierarchical namespace.",NIST SP 800-53 Revision 5,Technical
CCI-001664,Recognize only session identifiers that are system-generated.,NIST SP 800-53 Revision 5,Technical
CCI-001665,Preserve organization-defined system state information in the event of a system failure.,NIST SP 800-53 Revision 5,Technical
CCI-001669,Defines the frequency of testing malicious code protection mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-001670,Take organization-defined least-disruptive actions to terminate suspicious events.,NIST SP 800-53 Revision 5,Technical
CCI-001671,Analyze outbound communications traffic at selected organization-defined interior points within the system to discover anomalies.,NIST SP 800-53 Revision 5,Policy
CCI-001673,Employ a wireless intrusion detection system to identify rogue wireless devices and to detect attack attempts and potential compromises or breaches to the system.,NIST SP 800-53 Revision 5,Policy
CCI-001675,Defines the personnel or roles that are to receive reports on the results of security function verification.,NIST SP 800-53 Revision 5,Policy
CCI-001678,"Retain information within the system and information output from the system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and operational requirements.",NIST SP 800-53 Revision 5,Policy
CCI-001680,"Develop an organization-wide information security program plan that includes the identification and assignment of roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",NIST SP 800-53 Revision 5,Policy
CCI-001682,Automatically removes or disables emergency accounts after an organization-defined time period for each type of account.,NIST SP 800-53 Revision 5,Technical
CCI-001687,Verify that the use of mobile code deployed in system meets organization-defined mobile code requirements.,NIST SP 800-53 Revision 5,Policy
CCI-001688,Verify the acquisition of mobile code deployed in the system meets organization-defined mobile code requirements.,NIST SP 800-53 Revision 5,Policy
CCI-001695,Prevent the execution of organization-defined unacceptable mobile code.,NIST SP 800-53 Revision 5,Technical
CCI-001726,Use software in accordance with contract agreements.,NIST SP 800-53 Revision 5,Policy
CCI-001727,Use software documentation in accordance with contract agreements.,NIST SP 800-53 Revision 5,Policy
CCI-001728,Use software in accordance with copyright laws.,NIST SP 800-53 Revision 5,Policy
CCI-001729,Use software documentation in accordance with copyright laws.,NIST SP 800-53 Revision 5,Policy
CCI-001730,Track the use of software protected by quantity licenses to control copying of the software.,NIST SP 800-53 Revision 5,Policy
CCI-001731,Track the use of software documentation protected by quantity licenses to control distribution of the software documentation.,NIST SP 800-53 Revision 5,Policy
CCI-001732,"Control the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",NIST SP 800-53 Revision 5,Policy
CCI-001733,"Document the use of peer-to-peer file sharing technology to ensure that this capability is not used for the unauthorized distribution, display, performance, or reproduction of copyrighted work.",NIST SP 800-53 Revision 5,Policy
CCI-001734,Defines the restrictions to be followed on the use of open source software.,NIST SP 800-53 Revision 5,Policy
CCI-001735,Establish organization-defined restrictions on the use of open source software.,NIST SP 800-53 Revision 5,Policy
CCI-001736,Defines the number of previous versions of the baseline configuration of the system required to support rollback.,NIST SP 800-53 Revision 5,Policy
CCI-001737,Defines the systems or system components that are to have organization-defined configurations applied when located in areas of significant risk.,NIST SP 800-53 Revision 5,Policy
CCI-001738,Defines the configurations to be implemented on systems and system components when they are located in areas of significant risk.,NIST SP 800-53 Revision 5,Policy
CCI-001739,Issue organization-defined systems or system components with organization-defined configurations to individuals traveling to locations the organization deems to be of significant risk.,NIST SP 800-53 Revision 5,Policy
CCI-001740,Review proposed configuration-controlled changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-001741,Document configuration change decisions associated with the system.,NIST SP 800-53 Revision 5,Policy
CCI-001742,Defines the approval authorities to be notified when proposed changes to the system are received.,NIST SP 800-53 Revision 5,Policy
CCI-001743,Defines the security responses to be automatically implemented if baseline configurations are changed in an unauthorized manner.,NIST SP 800-53 Revision 5,Policy
CCI-001744,Implement organization-defined security responses automatically if baseline configurations are changed in an unauthorized manner.,NIST SP 800-53 Revision 5,Technical
CCI-001745,Defines the controls that are to be provided by the cryptographic mechanisms are under configuration management.,NIST SP 800-53 Revision 5,Policy
CCI-001746,Ensure that cryptographic mechanisms used to provide organization-defined control are under configuration management.,NIST SP 800-53 Revision 5,Policy
CCI-001751,Defines system-level information requiring enforcement of a dual authorization for system changes.,NIST SP 800-53 Revision 5,Policy
CCI-001752,Enforce dual authorization for implementing changes to organization-defined system-level information.,NIST SP 800-53 Revision 5,"Policy,Technical"
CCI-001753,Limit privileges to change system components within a production or operational environment.,NIST SP 800-53 Revision 5,Policy
CCI-001754,Limit privileges to change system-related information within a production or operational environment.,NIST SP 800-53 Revision 5,Policy
CCI-001755,"Defines the system components for which any deviation from the established configuration settings are to be identified, documented, and approved.",NIST SP 800-53 Revision 5,Policy
CCI-001756,Defines the operational requirements on which the configuration settings for the organization-defined system components are to be based.,NIST SP 800-53 Revision 5,Policy
CCI-001757,Defines the actions to employ when responding to unauthorized changes to the organization-defined configuration settings.,NIST SP 800-53 Revision 5,Policy
CCI-001758,Defines the configuration settings for which to employ organization-defined actions in response to unauthorized changes.,NIST SP 800-53 Revision 5,Policy
CCI-001759,Take organization-defined actions in response to unauthorized changes to organization-defined configuration settings.,NIST SP 800-53 Revision 5,Policy
CCI-001760,"Defines the frequency of system reviews to identify unnecessary and/or nonsecure functions, ports, protocols, software, and services.",NIST SP 800-53 Revision 5,Policy
CCI-001761,"Defines the functions, ports, protocols, software, and services within the information system that are to be disabled or removed when deemed unnecessary and/or nonsecure.",NIST SP 800-53 Revision 5,Policy
CCI-001762,"Disable or remove organization-defined functions, ports, protocols, software, and services within the system deemed to be unnecessary and/or nonsecure.",NIST SP 800-53 Revision 5,Technical
CCI-001763,Defines the policies regarding software program usage and restrictions.,NIST SP 800-53 Revision 5,Policy
CCI-001764,"Prevent program execution in accordance with organization-defined policies, rules of behavior, and/or access agreements regarding software program usage and restrictions; rules authorizing the terms and conditions of software program usage.",NIST SP 800-53 Revision 5,Technical
CCI-001765,Defines the software programs not authorized to execute on the system.,NIST SP 800-53 Revision 5,Policy
CCI-001766,Identify the organization-defined software programs not authorized to execute on the system.,NIST SP 800-53 Revision 5,Policy
CCI-001767,"Employ an allow-all, deny-by-exception policy to prohibit the execution of unauthorized software programs on the system.",NIST SP 800-53 Revision 5,Technical
CCI-001768,Defines the frequency on which the list of unauthorized software programs will be reviewed and updated.,NIST SP 800-53 Revision 5,Policy
CCI-001770,Review and update the list of unauthorized software programs per organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001772,Defines the software programs authorized to execute on the system.,NIST SP 800-53 Revision 5,Policy
CCI-001773,Identify the organization-defined software programs authorized to execute on the system.,NIST SP 800-53 Revision 5,Policy
CCI-001774,"Employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs on the system.",NIST SP 800-53 Revision 5,Technical
CCI-001775,Defines the frequency on which the list of authorized software programs will be reviewed and updated.,NIST SP 800-53 Revision 5,Policy
CCI-001777,Review and update the list of authorized software programs per organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001779,Defines the frequency on which the system component inventory is to be reviewed and updated.,NIST SP 800-53 Revision 5,Policy
CCI-001780,Review and update the system component inventory per organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001783,"Defines the personnel or roles to be notified when unauthorized hardware, software, and firmware components are detected within the system.",NIST SP 800-53 Revision 5,Policy
CCI-001784,"When unauthorized hardware, software, and firmware components are detected within the system, take action to disable network access by such components; isolate the components, and/or notify organization-defined personnel or roles.",NIST SP 800-53 Revision 5,Policy
CCI-001785,Provide a centralized repository for the inventory of system components.,NIST SP 800-53 Revision 5,Policy
CCI-001786,Support the tracking of system components by geographic location using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-001788,Assign system components to a system.,NIST SP 800-53 Revision 5,Policy
CCI-001789,Receive an acknowledgement from organization-defined personnel or roles of the acquired system components to a system.,NIST SP 800-53 Revision 5,Policy
CCI-001792,Implement a configuration management plan for the system that establishes a process for identifying configuration items throughout the system development life cycle.,NIST SP 800-53 Revision 5,Policy
CCI-001795,Implement a configuration management plan for the system that establishes a process for managing the configuration of the configuration items.,NIST SP 800-53 Revision 5,Policy
CCI-001798,Implement a configuration management plan for the system that places the configuration items under configuration management.,NIST SP 800-53 Revision 5,Policy
CCI-001799,Develop and document a configuration management plan for the system that protects the configuration management plan from unauthorized disclosure and modification.,NIST SP 800-53 Revision 5,Policy
CCI-001801,Implement a configuration management plan for the system that protects the configuration management plan from unauthorized disclosure and modification.,NIST SP 800-53 Revision 5,Policy
CCI-001802,Track the use of software documentation protected by quantity licenses to control copying of the software documentation.,NIST SP 800-53 Revision 5,Policy
CCI-001803,Track the use of software protected by quantity licenses to control distribution of the software.,NIST SP 800-53 Revision 5,Policy
CCI-001804,Defines the policies for governing the installation of software by users.,NIST SP 800-53 Revision 5,Policy
CCI-001805,Establish organization-defined policies governing the installation of software by users.,NIST SP 800-53 Revision 5,Policy
CCI-001806,Defines methods to be employed to enforce the software installation policies.,NIST SP 800-53 Revision 5,Policy
CCI-001807,Enforce software installation policies through organization-defined methods.,NIST SP 800-53 Revision 5,Policy
CCI-001808,Defines the frequency on which it will monitor software installation policy compliance.,NIST SP 800-53 Revision 5,Policy
CCI-001809,Monitor software installation policy compliance per an organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-001813,Enforce access restrictions using organization-defined mechanisms.,NIST SP 800-53 Revision 5,Technical
CCI-001815,Defines the controls to be applied to devices when individuals return from areas of significant risk.,NIST SP 800-53 Revision 5,Policy
CCI-001816,Apply organization-defined controls to the systems or components when the individuals return from travel.,NIST SP 800-53 Revision 5,Policy
CCI-001817,"When analyzing changes to the system, looks for privacy impacts due to flaws, weaknesses, incompatibility, or intentional malice.",NIST SP 800-53 Revision 5,Policy
CCI-001818,Analyze changes to the system in a separate test environment before installation in an operational environment.,NIST SP 800-53 Revision 5,Policy
CCI-001819,Implement approved configuration-controlled changes to the system.,NIST SP 800-53 Revision 5,Policy
CCI-001821,Defines the organizational personnel or roles to whom the organization-level; mission/business process-level; and/or system-level configuration management policy is to be disseminated.,NIST SP 800-53 Revision 5,Policy
CCI-001822,Disseminate the organization-level; mission/business process-level; and/or system-level configuration management policy to organization-defined personnel or roles.,NIST SP 800-53 Revision 5,Policy
CCI-001824,Defines the organizational personnel or roles to whom the organization-level; mission/business process-level; and/or system-level configuration management procedures are to be disseminated.,NIST SP 800-53 Revision 5,Policy
CCI-001825,Disseminate to organization-defined personnel or roles the procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level configuration management policy and associated configuration management controls.,NIST SP 800-53 Revision 5,Policy
CCI-001832,Disseminate the organization-level; mission/business process-level; and/or system-level audit and accountability policy to organization-defined personnel or roles.,NIST SP 800-53 Revision 5,Policy
CCI-001834,Disseminate to organization-defined personnel or roles procedures to facilitate the implementation of the audit and accountability policy and associated audit and accountability controls.,NIST SP 800-53 Revision 5,Policy
CCI-001848,Defines the audit log retention requirements for allocating audit log storage capacity.,NIST SP 800-53 Revision 5,Policy
CCI-001849,Allocate audit log storage capacity to accommodate organization-defined audit record retention requirements.,NIST SP 800-53 Revision 5,"Technical,Policy"
CCI-001850,Defines the frequency to off-load audit records onto a different system or media than the system being audited.,NIST SP 800-53 Revision 5,Policy
CCI-001851,"Transfer audit logs per organization-defined frequency to a different system, system component, or media than the system or system component conducting the logging.",NIST SP 800-53 Revision 5,Technical
CCI-001852,"Defines the personnel, roles and/or locations to receive a warning when allocated audit log storage volume reaches a defined percentage of maximum audit log storage capacity.",NIST SP 800-53 Revision 5,Policy
CCI-001853,"Defines the time period within which organization-defined personnel, roles, and/or locations are to receive warnings when allocated audit log storage volume reaches an organization-defined percentage of maximum audit log storage capacity.",NIST SP 800-53 Revision 5,Policy
CCI-001854,"Defines the percentage of maximum audit log storage capacity that is to be reached, at which time the system will provide a warning to organization-defined personnel, roles, and/or locations.",NIST SP 800-53 Revision 5,Policy
CCI-001855,"Provide a warning to organization-defined personnel, roles, and/or locations within an organization-defined time period when allocated audit log storage volume reaches an organization-defined percentage of repository maximum audit log storage capacity.",NIST SP 800-53 Revision 5,Technical
CCI-001856,Defines the real-time period in which to provide an alert when organization-defined audit failure events occur.,NIST SP 800-53 Revision 5,Policy
CCI-001857,"Defines the personnel, roles, and/or locations to receive alerts when organization-defined audit failure events occur.",NIST SP 800-53 Revision 5,Policy
CCI-001858,"Provide an alert in an organization-defined real-time-period to organization-defined personnel, roles, and/or locations when organization-defined audit failure events requiring real-time alerts occur.",NIST SP 800-53 Revision 5,Technical
CCI-001859,"Defines the network communication traffic volume thresholds reflecting limits on auditing capacity, specifying when the information system will reject or delay network traffic that exceed those thresholds.",NIST SP 800-53 Revision 5,Policy
CCI-001860,"Defines the audit logging failures which, should they occur, will invoke an organization-defined system mode.",NIST SP 800-53 Revision 5,Policy
CCI-001861,"Invoke a full system shutdown, partial system shutdown, or degraded operational mode with limited mission or business functionality available in the event of organization-defined audit logging failures, unless an alternate audit logging capability exists.",NIST SP 800-53 Revision 5,Technical
CCI-001862,Defines the types of inappropriate or unusual activity to be reviewed and analyzed in the audit records.,NIST SP 800-53 Revision 5,Policy
CCI-001863,Defines the personnel or roles to receive the reports of organization-defined inappropriate or unusual activity.,NIST SP 800-53 Revision 5,Policy
CCI-001864,Integrate audit review and analysis using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-001865,Integrate reporting processes using organization-defined automated mechanisms.,NIST SP 800-53 Revision 5,Policy
CCI-001866,Defines the data/information to be collected from other sources to enhance its ability to identify inappropriate or unusual activity.,NIST SP 800-53 Revision 5,Policy
CCI-001867,"Integrate analysis of audit records with analysis of vulnerability scanning information, performance data, system monitoring information, and/or organization-defined data/information collected from other sources to further enhance the ability to identify inappropriate or unusual activity.",NIST SP 800-53 Revision 5,Policy
CCI-001868,"Specify the permitted actions for each information system process, role, and/or user associated with the review and analysis of audit information.",NIST SP 800-53 Revision 5,Policy
CCI-001869,"Specify the permitted actions for each information system process, role, and/or user associated with the reporting of audit information.",NIST SP 800-53 Revision 5,Policy
CCI-001870,"Perform a full-text analysis of logged privileged commands in a physically-distinct component or subsystem of the system, or other system that is dedicated to that analysis.",NIST SP 800-53 Revision 5,Policy
CCI-001871,Correlate information from non-technical sources with audit record information to enhance organization-wide situational awareness.,NIST SP 800-53 Revision 5,Policy
CCI-001875,Provide an audit reduction capability that supports on-demand audit review and analysis.,NIST SP 800-53 Revision 5,Technical
CCI-001876,Provide an audit reduction capability that supports on-demand reporting requirements.,NIST SP 800-53 Revision 5,Technical
CCI-001877,Provide an audit reduction capability that supports after-the-fact investigations of incidents.,NIST SP 800-53 Revision 5,Technical
CCI-001878,Provide a report generation capability that supports on-demand audit review and analysis.,NIST SP 800-53 Revision 5,Technical
CCI-001879,Provide a report generation capability that supports on-demand reporting requirements.,NIST SP 800-53 Revision 5,Technical
CCI-001880,Provide a report generation capability that supports after-the-fact investigations of security incidents.,NIST SP 800-53 Revision 5,Technical
CCI-001881,Provide an audit reduction capability that does not alter original content or time ordering of audit records.,NIST SP 800-53 Revision 5,Technical
CCI-001882,Provide a report generation capability that does not alter original content or time ordering of audit records.,NIST SP 800-53 Revision 5,Technical
CCI-001883,"Defines the audit fields within audit records to be processed, sorted, and searched for events of interest by the system.",NIST SP 800-53 Revision 5,Policy
CCI-001888,Defines the granularity of time measurement for time stamps generated for audit records.,NIST SP 800-53 Revision 5,Policy
CCI-001889,Record time stamps for audit records that meet organization-defined granularity of time measurement.,NIST SP 800-53 Revision 5,Technical
CCI-001890,"Record time stamps for audit records that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp.",NIST SP 800-53 Revision 5,Technical
CCI-001894,Defines the subset of privileged users who will be authorized access to the management of audit functionality.,NIST SP 800-53 Revision 5,Policy
CCI-001895,Defines the audit information requiring dual authorization for movement or deletion actions.,NIST SP 800-53 Revision 5,Policy
CCI-001896,Enforce dual authorization for movement and/or deletion of organization-defined audit information.,NIST SP 800-53 Revision 5,Technical
CCI-001897,Defines the subset of privileged users or roles who will be authorized read-only access to audit information.,NIST SP 800-53 Revision 5,Policy
CCI-001898,Authorize read-only access to audit information to an organization-defined subset of privileged users or roles.,NIST SP 800-53 Revision 5,Policy
CCI-001899,Defines the actions to be covered by non-repudiation.,NIST SP 800-53 Revision 5,Policy
