CWE ID,CWE Name,Weakness Abstraction,Status,Description,Extended Description,Related Weaknesses,Weakness Ordinalities,Applicable Platforms,Background Details,Alternate Terms,Modes Of Introduction,Common Consequences,Detection Methods,Potential Mitigations,Observed Examples,Functional Areas,Affected Resources,Taxonomy Mappings,Notes,Type
366,Race Condition within a Thread,Base,Draft,"If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined.",,NATURE:ChildOf:CWE ID:362 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:662 VIEW ID:1305 ORDINAL:Primary NATURE:ChildOf:CWE ID:662 VIEW ID:1340 ORDINAL:Primary,,LANGUAGE NAME:C LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:C++ LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:Java LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:C# LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Integrity SCOPE - Other IMPACT - Alter Execution Logic IMPACT - Unexpected State NOTE - The main problem is that -- if a lock is overcome -- data could be altered in a bad state.,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Architecture and Design DESCRIPTION - Use locking functionality. This is the recommended solution. Implement some form of locking mechanism around code which alters or reads persistent data in a multithreaded environment.  PHASE - Architecture and,"REFERENCE - CVE-2022-2621 DESCRIPTION - Chain: two threads in a web browser use the same resource (CWE-366), but one of those threads can destroy the resource before the other has completed (CWE-416). LINK - https://www.cve.org/CVERecord?id=CVE-2022-2621",,System Process,TAXONOMY NAME - CLASP:ENTRY NAME:Race condition within a thread TAXONOMY NAME - CERT C Secure Coding:ENTRY ID:CON32-C:ENTRY NAME:Prevent data races when accessing bit-fields from multiple threads:MAPPING FIT:CWE More Abstract TAXONOMY NAME - CERT C Secure,,"Software Development,Research Concept"
57,Path Equivalence: 'fakedir/../realdir/filename',Variant,Incomplete,"The product contains protection mechanisms to restrict access to 'realdir/filename', but it constructs pathnames using external input in the form of 'fakedir/../realdir/filename' that are not handled by those mechanisms. This allows attackers to perform u",,NATURE:ChildOf:CWE ID:41 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Confidentiality SCOPE - Integrity IMPACT - Read Files or Directories IMPACT - Modify Files or Directories,,PHASE - Implementation STRATEGY - Input Validation DESCRIPTION - Inputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same inpu,"REFERENCE - CVE-2001-1152 DESCRIPTION - Proxy allows remote attackers to bypass denylist restrictions and connect to unauthorized web servers by modifying the requested URL, including (1) a // (double slash), (2) a /SUBDIR/.. where the desired file is in",,,TAXONOMY NAME - PLOVER:ENTRY NAME:dirname/fakechild/../realchild/filename TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP16:ENTRY NAME:Path Traversal::,TYPE - Theoretical NOTE - This is a manipulation that uses an injection for one consequence (containment violation using relative path) to achieve a different consequence (equivalence by alternate name).::,Research Concept
206,Observable Internal Behavioral Discrepancy,Variant,Incomplete,"The product performs multiple behaviors that are combined to produce a single result, but the individual behaviors are observable separately in a way that allows attackers to reveal internal state or internal decision points.","Ideally, a product should provide as little information as possible to an attacker. Any hints that the attacker may be making progress can then be used to simplify or optimize the attack. For example, in a login procedure that requires a username and pass",NATURE:ChildOf:CWE ID:205 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design PHASE - Implementation,SCOPE - Confidentiality SCOPE - Access Control IMPACT - Read Application Data IMPACT - Bypass Protection Mechanism,,"PHASE - DESCRIPTION - Setup generic response pages for error conditions. The error page should not disclose information about the success or failure of a sensitive operation. For instance, the login page should not confirm that the login is correct and th",REFERENCE - CVE-2002-2031 DESCRIPTION - File existence via infoleak monitoring whether onerror handler fires or not. LINK - https://www.cve.org/CVERecord?id=CVE-2002-2031  REFERENCE - CVE-2005-2025 DESCRIPTION - Valid groupname enumeration via behavioral,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Internal behavioral inconsistency infoleak::,,Research Concept
268,Privilege Chaining,Base,Draft,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.",,NATURE:ChildOf:CWE ID:269 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Primary::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design PHASE - Implementation: NOTE - REALIZATION: This weakness is caused during implementation of an architectural security tactic. PHASE - Operation,SCOPE - Access Control IMPACT - Gain Privileges or Assume Identity NOTE - A user can be given or gain access rights of another user. This can give the user unauthorized access to sensitive information including the access information of another user.,,PHASE - Architecture and Design STRATEGY - Separation of Privilege DESCRIPTION - Consider following the principle of separation of privilege. Require multiple conditions to be met before permitting access to a system resource.  PHASE - Architecture and De,REFERENCE - CVE-2005-1736 DESCRIPTION - Chaining of user rights. LINK - https://www.cve.org/CVERecord?id=CVE-2005-1736  REFERENCE - CVE-2002-1772 DESCRIPTION - Gain certain rights via privilege chaining in alternate channel. LINK - https://www.cve.org/CVE,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Privilege Chaining::,TYPE - Relationship NOTE - There is some conceptual overlap with Unsafe Privilege.::,"Software Development,Research Concept"
1109,Use of Same Variable for Multiple Purposes,Base,Incomplete,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.","Use of the same variable for multiple purposes can make it more difficult for a person to read or understand the code, potentially hiding other quality issues. This issue makes it more difficult to maintain the product, which indirectly affects security b",NATURE:ChildOf:CWE ID:1078 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Indirect::,,,,#VALUE!,SCOPE - Other IMPACT - Reduce Maintainability,,,,,,,,"Software Development,Research Concept"
1274,Improper Access Control for Volatile Memory Containing Boot Code,Base,Stable,"The product conducts a secure-boot process that transfers bootloader code from Non-Volatile Memory (NVM) into Volatile Memory (VM), but it does not have sufficient access control or other protections for the Volatile Memory.","Adversaries could bypass the secure-boot process and execute their own untrusted, malicious boot code. As a part of a secure-boot process, the read-only-memory (ROM) code for a System-on-Chip (SoC) or other system fetches bootloader code from Non-Volatile",NATURE:ChildOf:CWE ID:284 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Primary::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined OPERATING SYSTEM CLASS:Not OS-Specific OPERATING SYSTEM PREVALENCE:Undetermined ARCHITECTURE CLASS:Not Architecture-Specific:ARCHITECTURE PREVALENCE:Undetermined TECHNOLOGY CLASS:Not Te,,,PHASE - Architecture and Design: NOTE - This weakness can be introduced during hardware architecture or design but can be identified later during testing.,SCOPE - Access Control SCOPE - Integrity IMPACT - Modify Memory IMPACT - Execute Unauthorized Code or Commands IMPACT - Gain Privileges or Assume Identity LIKELIHOOD - High,"METHOD - Manual Analysis DESCRIPTION - Ensure the volatile memory is lockable or has locks. Ensure the volatile memory is locked for writes from untrusted agents or adversaries. Try modifying the volatile memory from an untrusted agent, and ensure these w",PHASE - Architecture and Design DESCRIPTION - Ensure that the design of volatile-memory protections is enough to prevent modification from an adversary or untrusted code.  PHASE - Testing DESCRIPTION - Test the volatile-memory protections to ensure they a,REFERENCE - CVE-2019-2267 DESCRIPTION - Locked memory regions may be modified through other interfaces in a secure-boot-loader image due to improper access control. LINK - https://www.cve.org/CVERecord?id=CVE-2019-2267,,,,,"Hardware Development,Research Concept"
257,Storing Passwords in a Recoverable Format,Base,Incomplete,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subje",,NATURE:ChildOf:CWE ID:522 VIEW ID:1000 ORDINAL:Primary NATURE:PeerOf:CWE ID:259 VIEW ID:1000,: ORDINALITY:Primary::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design: NOTE - COMMISSION: This weakness refers to an incorrect design related to an architectural security tactic.,SCOPE - Confidentiality SCOPE - Access Control IMPACT - Gain Privileges or Assume Identity NOTE - User's passwords may be revealed.  SCOPE - Access Control IMPACT - Gain Privileges or Assume Identity NOTE - Revealed passwords may be reused elsewhere to im,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e","PHASE - Architecture and Design DESCRIPTION - Use strong, non-reversible encryption to protect stored passwords.","REFERENCE - CVE-2022-30018 DESCRIPTION - A messaging platform serializes all elements of User/Group objects, making private information available to adversaries LINK - https://www.cve.org/CVERecord?id=CVE-2022-30018",,,TAXONOMY NAME - CLASP:ENTRY NAME:Storing passwords in a recoverable format TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP23:ENTRY NAME:Exposed Data::,"TYPE - Maintenance NOTE - The meaning of this entry needs to be investigated more closely, especially with respect to what is meant by recoverable.::","Software Development,Research Concept"
862,Missing Authorization,Class,Incomplete,The product does not perform an authorization check when an actor attempts to access a resource or perform an action.,"Assuming a user with a given identity, authorization is the process of determining whether that user can access a given resource, based on the user's privileges and any permissions or other access-control specifications that apply to the resource. When ac",NATURE:ChildOf:CWE ID:285 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:284 VIEW ID:1340 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined TECHNOLOGY NAME:Web Server TECHNOLOGY PREVALENCE:Often TECHNOLOGY NAME:Database Server TECHNOLOGY PREVALENCE:Often,"An access control list (ACL) represents who/what has permissions to a given object. Different operating systems implement (ACLs) in different ways. In UNIX, there are three types of permissions: read, write, and execute. Users are divided into three class","TERM - AuthZ DESCRIPTION - AuthZ is typically used as an abbreviation of authorization within the web application security community. It is distinct from AuthN (or, sometimes, AuthC) which is an abbreviation of authentication. The use of Auth as an abbrev",PHASE - Architecture and Design: NOTE - OMISSION: This weakness is caused by missing a security tactic during the architecture and design phase. Authorization weaknesses may arise when a single-user application is ported to a multi-user environment. PHASE,"SCOPE - Confidentiality IMPACT - Read Application Data IMPACT - Read Files or Directories NOTE - An attacker could read sensitive data, either by reading the data directly from a data store that is not restricted, or by accessing insufficiently-protected,","METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis is useful for detecting commonly-used idioms for authorization. A tool may be able to analyze related configuration files, such as .htaccess in Apache web servers, or detect the us","PHASE - Architecture and Design DESCRIPTION - Divide the product into anonymous, normal, privileged, and administrative areas. Reduce the attack surface by carefully mapping roles with data and functionality. Use role-based access control (RBAC) [REF-229]","REFERENCE - CVE-2022-24730 DESCRIPTION - Go-based continuous deployment product does not check that a user has certain privileges to update or create an app, allowing adversaries to read sensitive repository information LINK - https://www.cve.org/CVERecor",,,TAXONOMY NAME - ISA/IEC 62443:ENTRY ID:Part 2-1:ENTRY NAME:Req 4.3.3.7 TAXONOMY NAME - ISA/IEC 62443:ENTRY ID:Part 3-3:ENTRY NAME:Req SR 2.1 TAXONOMY NAME - ISA/IEC 62443:ENTRY ID:Part 4-2:ENTRY NAME:Req CR 2.1::,,Research Concept
495,Private Data Structure Returned From A Public Method,Variant,Draft,"The product has a method that is declared public, but returns a reference to a private data structure, which could then be modified in unexpected ways.",,NATURE:ChildOf:CWE ID:664 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE NAME:C LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:C++ LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:Java LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:C# LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Integrity IMPACT - Modify Application Data NOTE - The contents of the data structure can be modified from outside the intended  SCOPE.,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Implementation DESCRIPTION - Declare the method private.  PHASE - Implementation DESCRIPTION - Clone the member data and keep an unmodified version of the data private to the object.  PHASE - Implementation DESCRIPTION - Use public setter methods ,,,,TAXONOMY NAME - 7 Pernicious Kingdoms:ENTRY NAME:Private Array-Typed Field Returned From A Public Method TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP23:ENTRY NAME:Exposed Data::,,Research Concept
1090,Method Containing Access of a Member Element from Another Class,Base,Incomplete,A method for a class performs an operation that directly accesses a member element from another class.,"This issue suggests poor encapsulation and makes it more difficult to understand and maintain the product, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities. It also might make it easier to ",NATURE:ChildOf:CWE ID:1061 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Indirect::,,,,#VALUE!,SCOPE - Other IMPACT - Reduce Maintainability,,,,,,TAXONOMY NAME - OMG ASCMM:ENTRY ID:ASCMM-MNT-16::,,"Software Development,Research Concept"
313,Cleartext Storage in a File or on Disk,Variant,Draft,"The product stores sensitive information in cleartext in a file, or on disk.","The sensitive information could be read by attackers with access to the file, or with physical or administrator access to the raw disk. Even if the information is encoded in a way that is not human-readable, certain techniques could determine which encodi",NATURE:ChildOf:CWE ID:312 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design: NOTE - OMISSION: This weakness is caused by missing a security tactic during the architecture and design phase.,SCOPE - Confidentiality IMPACT - Read Application Data,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",,REFERENCE - CVE-2001-1481 DESCRIPTION - Cleartext credentials in world-readable file. LINK - https://www.cve.org/CVERecord?id=CVE-2001-1481  REFERENCE - CVE-2005-1828 DESCRIPTION - Password in cleartext in config file. LINK - https://www.cve.org/CVERecord,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Plaintext Storage in File or on Disk TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP23:ENTRY NAME:Exposed Data::,"TYPE - Terminology NOTE - Different people use cleartext and plaintext to mean the same thing: the lack of encryption. However, within cryptography, these have more precise meanings. Plaintext is the information just before it is fed into a cryptographic ",Research Concept
413,Improper Resource Locking,Base,Draft,The product does not lock or does not correctly lock a resource when the product must have exclusive access to the resource.,"When a resource is not properly locked, an attacker could modify the resource while it is being operated on by the product. This might violate the product's assumption that the resource will not change, potentially leading to unexpected behaviors.",NATURE:ChildOf:CWE ID:667 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design PHASE - Implementation,"SCOPE - Integrity SCOPE - Availability IMPACT - Modify Application Data IMPACT - DoS -  Instability IMPACT - DoS -  Crash, Exit, or Restart","METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Architecture and Design DESCRIPTION - Use a non-conflicting privilege scheme.  PHASE - Architecture and Design Implementation DESCRIPTION - Use synchronization when locking a resource.,REFERENCE - CVE-2022-20141 DESCRIPTION - Chain: an operating system kernel has insufficent resource locking (CWE-413) leading to a use after free (CWE-416). LINK - https://www.cve.org/CVERecord?id=CVE-2022-20141,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Insufficient Resource Locking TAXONOMY NAME - The CERT Oracle Secure Coding Standard for Java (2011):ENTRY ID:VNA00-J:ENTRY NAME:Ensure visibility when accessing shared primitive variables TAXONOMY NAME - The CERT Oracle,,"Software Development,Research Concept"
1286,Improper Validation of Syntactic Correctness of Input,Base,Incomplete,"The product receives input that is expected to be well-formed - i.e., to comply with a certain syntax - but it does not validate or incorrectly validates that the input complies with the syntax.","Often, complex inputs are expected to follow a particular syntax, which is either assumed by the input itself, or declared within metadata such as headers. The syntax could be for data exchange formats, markup languages, or even programming languages. Whe",NATURE:ChildOf:CWE ID:20 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Often,,,PHASE - Implementation,SCOPE - Other IMPACT - Varies by Context,,"PHASE - Implementation STRATEGY - Input Validation DESCRIPTION - Assume all input is malicious. Use an accept known good input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does n","REFERENCE - CVE-2016-4029 DESCRIPTION - Chain: incorrect validation of intended decimal-based IP address format (CWE-1286) enables parsing of octal or hexadecimal formats (CWE-1389), allowing bypass of an SSRF protection mechanism (CWE-918). LINK - https:",,,,TYPE - Maintenance NOTE - This entry is still under development and will continue to see updates and content improvements.::,"Software Development,Research Concept"
85,Doubled Character XSS Manipulations,Variant,Draft,The web application does not filter user-controlled input for executable script disguised using doubling of the involved characters.,,NATURE:ChildOf:CWE ID:79 VIEW ID:1000 ORDINAL:Primary NATURE:PeerOf:CWE ID:675 VIEW ID:1000,: ORDINALITY:Primary::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Confidentiality SCOPE - Integrity SCOPE - Availability IMPACT - Read Application Data IMPACT - Execute Unauthorized Code or Commands,,PHASE - Implementation DESCRIPTION - Resolve all filtered input to absolute or canonical representations before processing.  PHASE - Implementation DESCRIPTION - Carefully check each input parameter against a rigorous positive specification (allowlist) de,REFERENCE - CVE-2002-2086 DESCRIPTION - XSS using<script. LINK - https://www.cve.org/CVERecord?id=CVE-2002-2086  REFERENCE - CVE-2000-0116 DESCRIPTION - Encoded javascript in IMG tag. LINK - https://www.cve.org/CVERecord?id=CVE-2000-0116  REFERENCE - ,,,"TAXONOMY NAME - PLOVER:ENTRY NAME:DOUBLE - Doubled character XSS manipulations, e.g.",,Research Concept
1290,Incorrect Decoding of Security Identifiers ,Base,Incomplete,"The product implements a decoding mechanism to decode certain bus-transaction signals to security identifiers. If the decoding is implemented incorrectly, then untrusted agents can now gain unauthorized access to the asset.","In a System-On-Chip (SoC), various integrated circuits and hardware engines generate transactions such as to access (reads/writes) assets or perform certain actions (e.g., reset, fetch, compute, etc.). Among various types of message information, a typical",NATURE:ChildOf:CWE ID:284 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:1294 VIEW ID:1194 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined OPERATING SYSTEM CLASS:Not OS-Specific OPERATING SYSTEM PREVALENCE:Undetermined ARCHITECTURE CLASS:Not Architecture-Specific:ARCHITECTURE PREVALENCE:Undetermined TECHNOLOGY NAME:Bus/Int,,,PHASE - Implementation PHASE - Architecture and Design,SCOPE - Confidentiality SCOPE - Integrity SCOPE - Availability SCOPE - Access Control IMPACT - Modify Memory IMPACT - Read Memory IMPACT - DoS -  Resource Consumption (Other) IMPACT - Execute Unauthorized Code or Commands IMPACT - Gain Privileges or Assum,,PHASE - Architecture and Design DESCRIPTION - Security identifier decoders must be reviewed for design consistency and common weaknesses.  PHASE - Implementation DESCRIPTION - Access and programming flows must be tested in pre-silicon and post-silicon tes,,,,,,"Hardware Development,Research Concept"
475,Undefined Behavior for Input to API,Base,Incomplete,The behavior of this function is undefined unless its control parameter is set to a specific value.,,NATURE:ChildOf:CWE ID:573 VIEW ID:1000 ORDINAL:Primary,: ORDINALITY:Indirect::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design PHASE - Implementation,SCOPE - Other IMPACT - Quality Degradation IMPACT - Varies by Context,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",,,,,TAXONOMY NAME - 7 Pernicious Kingdoms:ENTRY NAME:Undefined Behavior TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP1:ENTRY NAME:Glitch in computation::,"TYPE - Other NOTE - The Linux Standard Base Specification 2.0.1 for libc places constraints on the arguments to some internal functions [21]. If the constraints are not met, the behavior of the functions is not defined. It is unusual for this function to ","Software Development,Research Concept"
9,J2EE Misconfiguration: Weak Access Permissions for EJB Methods,Variant,Draft,"If elevated access rights are assigned to EJB methods, then an attacker can take advantage of the permissions to exploit the product.","If the EJB deployment descriptor contains one or more method permissions that grant access to the special ANYONE role, it indicates that access control for the application has not been fully thought through or that the application is structured in such a ",NATURE:ChildOf:CWE ID:266 VIEW ID:1000 ORDINAL:Primary,,,,,PHASE - Architecture and Design PHASE - Implementation,SCOPE - Other IMPACT - Other,,PHASE - Architecture and Design System Configuration DESCRIPTION - Follow the principle of least privilege when assigning access rights to EJB methods. Permission to invoke EJB methods should not be granted to the ANYONE role.,,,,TAXONOMY NAME - 7 Pernicious Kingdoms:ENTRY NAME:J2EE Misconfiguration: Weak Access Permissions::,,Research Concept
350,Reliance on Reverse DNS Resolution for a Security-Critical Action,Variant,Draft,"The product performs reverse DNS resolution on an IP address to obtain the hostname and make a security decision, but it does not properly ensure that the IP address is truly associated with the hostname.","Since DNS names can be easily spoofed or misreported, and it may be difficult for the product to detect if a trusted DNS server has been compromised, DNS names do not constitute a valid authentication mechanism. When the product performs a reverse DNS res",NATURE:ChildOf:CWE ID:290 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:807 VIEW ID:1000 NATURE:CanPrecede:CWE ID:923 VIEW ID:1000,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design,SCOPE - Access Control IMPACT - Gain Privileges or Assume Identity IMPACT - Bypass Protection Mechanism NOTE - Malicious users can fake authentication information by providing false DNS information.,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Architecture and Design DESCRIPTION - Use other means of identity verification that cannot be simply spoofed. Possibilities include a username/password or certificate.  PHASE - Implementation DESCRIPTION - Perform proper forward and reverse DNS lo,REFERENCE - CVE-2001-1488 DESCRIPTION - Does not do double-reverse lookup to prevent DNS spoofing. LINK - https://www.cve.org/CVERecord?id=CVE-2001-1488  REFERENCE - CVE-2001-1500 DESCRIPTION - Does not verify reverse-resolved hostnames in DNS. LINK - htt,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Improperly Trusted Reverse DNS TAXONOMY NAME - CLASP:ENTRY NAME:Trusting self-reported DNS name TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP29:ENTRY NAME:Faulty endpoint authentication::,"TYPE - Maintenance NOTE - CWE-350, CWE-247, and CWE-292 were merged into CWE-350 in CWE 2.5. CWE-247 was originally derived from Seven Pernicious Kingdoms, CWE-350 from PLOVER, and CWE-292 from CLASP. All taxonomies focused closely on the use of reverse D",Research Concept
500,Public Static Field Not Marked Final,Variant,Draft,"An object contains a public static field that is not marked final, which might allow it to be modified in unexpected ways.",Public static variables can be read without an accessor and changed without a mutator by any classes in the application.,NATURE:ChildOf:CWE ID:493 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE NAME:C++ LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:Java LANGUAGE PREVALENCE:Undetermined,"When a field is declared public but not final, the field can be read and written to by arbitrary Java code.",,PHASE - Implementation,SCOPE - Integrity IMPACT - Modify Application Data NOTE - The object could potentially be tampered with.  SCOPE - Confidentiality IMPACT - Read Application Data NOTE - The object could potentially allow the object to be read.,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e","PHASE - Architecture and Design DESCRIPTION - Clearly identify the scope for all critical data elements, including whether they should be regarded as static.  PHASE - Implementation DESCRIPTION - Make any static fields private and constant. A constant fie",,,,TAXONOMY NAME - CLASP:ENTRY NAME:Overflow of static internal buffer TAXONOMY NAME - The CERT Oracle Secure Coding Standard for Java (2011):ENTRY ID:OBJ10-J:ENTRY NAME:Do not use public static nonfinal variables TAXONOMY NAME - Software Fault Patterns:ENTR,,Research Concept
625,Permissive Regular Expression,Base,Draft,The product uses a regular expression that does not sufficiently restrict the set of allowed values.,"This effectively causes the regexp to accept substrings that match the pattern, which produces a partial comparison to the target. In some cases, this can lead to other weaknesses. Common errors include: not identifying the beginning and end of the target",NATURE:ChildOf:CWE ID:185 VIEW ID:1000 ORDINAL:Primary NATURE:PeerOf:CWE ID:187 VIEW ID:1000 NATURE:PeerOf:CWE ID:184 VIEW ID:1000 NATURE:PeerOf:CWE ID:183 VIEW ID:1000,: ORDINALITY:Primary::,LANGUAGE NAME:Perl LANGUAGE PREVALENCE:Undetermined LANGUAGE NAME:PHP LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation: NOTE - This problem is frequently found when the regular expression is used in input validation or security features such as authentication.,SCOPE - Access Control IMPACT - Bypass Protection Mechanism,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e","PHASE - Implementation DESCRIPTION - When applicable, ensure that the regular expression marks beginning and ending string patterns, such as /^string$/ for Perl.","REFERENCE - CVE-2021-22204 DESCRIPTION - Chain: regex in EXIF processor code does not correctly determine where a string ends (CWE-625), enabling eval injection (CWE-95), as exploited in the wild per CISA KEV. LINK - https://www.cve.org/CVERecord?id=CVE-2",,,TAXONOMY NAME - The CERT Oracle Secure Coding Standard for Java (2011):ENTRY ID:IDS08-J:ENTRY NAME:Sanitize untrusted data passed to a regex::,,"Software Development,Research Concept"
158,Improper Neutralization of Null Byte or NUL Character,Variant,Incomplete,"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes NUL characters or null bytes when they are sent to a downstream component.","As data is parsed, an injected NUL character or null byte may cause the product to believe the input is terminated earlier than it actually is, or otherwise cause the input to be misinterpreted. This could then be used to inject potentially dangerous inpu",NATURE:ChildOf:CWE ID:138 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,SCOPE - Integrity IMPACT - Unexpected State,,"PHASE - DESCRIPTION - Developers should anticipate that null characters or null bytes will be injected/removed/manipulated in the input vectors of their product. Use an appropriate combination of denylists and allowlists to ensure only valid, expected and",REFERENCE - CVE-2008-1284 DESCRIPTION - NUL byte in theme name causes directory traversal impact to be worse LINK - https://www.cve.org/CVERecord?id=CVE-2008-1284  REFERENCE - CVE-2005-2008 DESCRIPTION - Source code disclosure using trailing null. LINK -,,,TAXONOMY NAME - PLOVER:ENTRY NAME:Null Character / Null Byte TAXONOMY NAME - WASC:ENTRY ID:28:ENTRY NAME:Null Byte Injection TAXONOMY NAME - Software Fault Patterns:ENTRY ID:SFP24:ENTRY NAME:Tainted input to command::,"TYPE - Relationship NOTE - This can be a factor in multiple interpretation errors, other interaction errors, filename equivalence, etc.::",Research Concept
